Hours_Studied,Attendance,Sleep_Hours,Previous_Scores,Exam_Score
21,98,10,95,71
18,82,8,50,66
21,91,5,72,69
12,64,9,51,59
14,68,7,76,65
27,80,10,71,72
16,61,6,81,60
14,70,9,88,64
23,81,7,88,69
27,61,10,86,70
24,71,7,55,67
26,81,10,71,67
15,83,8,91,64
11,97,8,83,68
29,86,10,84,72
18,77,6,61,65
18,97,8,66,70
28,91,7,98,75
23,68,7,92,65
23,65,7,58,63
33,87,8,77,71
16,82,8,75,66
26,92,6,72,69
20,90,7,74,68
22,85,4,82,71
29,99,8,98,77
23,81,10,94,70
23,65,7,94,66
26,93,5,85,73
18,70,8,51,62
15,91,6,72,65
14,98,7,76,71
8,88,8,92,66
32,84,8,96,72
13,78,9,73,64
19,75,7,65,63
18,74,7,67,63
22,85,8,79,72
25,90,7,64,71
25,87,6,96,72
17,68,8,71,65
19,80,5,100,67
22,92,7,55,68
19,79,5,59,66
30,81,6,76,72
23,91,6,93,71
24,86,6,68,70
24,76,9,92,68
27,96,9,71,72
21,67,9,93,66
12,100,7,64,69
22,65,6,74,65
16,61,8,64,62
17,96,7,61,69
24,70,7,71,65
27,89,4,67,69
20,92,8,89,69
22,94,8,87,73
30,100,7,68,75
21,72,8,100,70
36,88,8,99,74
23,65,6,96,65
9,76,7,79,63
25,94,5,71,74
22,75,9,66,67
28,84,8,51,71
24,80,6,82,68
19,86,8,78,69
13,99,7,81,71
19,62,6,79,66
15,83,7,57,65
17,95,8,85,66
24,79,8,68,65
30,63,10,76,67
22,82,7,68,70
13,73,7,51,63
23,66,8,94,64
27,94,7,57,71
16,81,6,79,68
19,97,6,94,72
20,92,4,61,71
15,88,8,71,64
24,60,5,69,64
19,77,6,54,66
23,68,7,71,68
15,96,7,74,68
17,67,10,51,65
24,71,5,74,67
18,81,10,55,64
30,71,9,95,70
18,68,8,83,65
21,84,9,53,65
26,64,8,91,68
11,62,4,68,61
9,75,8,61,63
11,89,5,63,65
28,82,6,80,69
17,77,7,54,64
35,83,6,53,69
17,75,8,81,67
21,97,7,99,74
29,62,8,74,66
32,87,7,71,72
32,96,7,97,73
27,92,6,62,73
26,67,5,62,63
24,72,7,95,69
25,89,6,82,71
17,63,9,53,63
15,92,5,84,69
20,89,10,91,72
19,89,7,64,68
17,64,7,69,62
24,89,6,60,68
26,87,8,82,71
21,93,7,83,67
29,62,7,53,65
13,61,8,84,60
19,75,8,83,68
16,66,9,52,59
9,82,8,78,64
20,97,6,81,71
19,76,4,72,68
29,94,7,95,70
24,60,7,66,62
14,67,10,53,62
31,61,7,84,68
27,73,8,80,68
23,96,8,99,74
19,64,8,62,61
14,84,8,70,67
18,78,6,73,65
27,98,6,93,101
31,65,7,71,65
29,68,4,89,67
17,61,7,58,61
13,77,6,70,64
21,71,7,58,64
9,95,7,97,67
22,84,5,59,69
19,85,9,71,69
17,81,7,54,67
10,64,8,96,62
23,78,7,81,66
17,100,8,98,72
13,93,5,52,67
3,96,9,59,66
20,93,8,69,67
31,64,7,81,67
30,69,7,66,68
17,60,9,86,63
16,72,6,58,62
23,64,5,80,65
14,79,6,70,65
22,87,7,75,70
25,95,7,78,73
27,90,9,53,73
19,98,6,96,68
19,62,6,89,63
15,60,5,72,62
15,86,8,77,69
19,72,5,52,66
22,70,8,75,68
25,73,6,71,67
15,71,6,69,65
29,80,10,91,70
18,78,9,59,64
20,80,7,59,65
16,87,5,76,67
5,75,10,84,62
25,70,7,51,66
24,67,7,77,68
18,74,8,65,64
20,90,4,88,69
23,90,6,73,69
11,87,7,92,67
17,69,7,70,61
25,84,5,91,70
12,83,7,86,65
22,79,7,91,66
12,82,10,91,66
23,80,9,74,69
20,83,7,68,67
10,89,7,88,71
27,64,9,68,68
16,90,7,54,67
15,65,5,93,63
21,63,10,70,64
27,99,6,57,73
14,98,10,82,69
20,62,8,94,65
23,78,6,93,70
24,67,4,78,67
21,79,8,54,67
18,93,5,85,70
15,98,8,80,69
21,85,10,61,68
14,74,5,95,66
2,84,8,54,62
23,72,6,69,67
25,96,9,55,71
6,95,7,96,68
14,82,7,52,66
24,73,9,71,64
32,72,8,93,71
20,61,6,63,61
16,93,10,55,67
19,78,5,56,65
28,73,7,70,66
16,79,6,71,68
15,93,5,86,66
17,65,5,62,63
14,94,7,85,66
21,96,8,100,73
30,98,9,93,88
22,76,9,82,67
18,69,7,97,69
18,75,6,100,67
11,73,9,79,64
25,67,6,64,64
20,84,5,96,65
19,79,8,92,68
39,95,9,54,77
22,61,6,97,63
15,86,10,68,69
17,91,8,66,69
27,90,8,67,70
21,95,6,66,73
11,89,9,76,66
26,97,5,79,71
16,73,6,71,66
31,80,6,71,71
26,61,5,87,66
17,60,8,50,63
28,70,8,97,70
20,64,8,86,66
25,70,7,85,66
23,67,8,71,66
15,61,7,98,62
16,96,6,50,69
26,60,6,54,63
18,89,4,90,68
18,66,9,87,64
14,96,9,64,69
23,96,10,80,71
32,86,6,77,71
14,87,6,76,66
20,60,4,80,63
28,99,8,100,72
20,95,8,99,70
23,96,9,99,71
14,86,6,77,65
23,74,8,66,65
19,96,6,78,67
26,72,9,81,68
27,83,8,66,70
36,64,5,82,70
23,97,7,81,72
22,66,4,95,65
21,69,5,62,65
18,82,5,85,71
22,91,6,73,74
18,85,7,56,64
21,69,7,66,64
28,60,7,53,65
14,90,7,66,67
27,99,7,53,73
28,92,5,96,72
19,78,7,55,65
7,96,9,91,67
16,76,7,95,66
28,81,8,73,70
20,79,8,53,66
14,78,8,80,66
17,91,7,62,68
25,81,8,59,68
23,73,8,78,67
19,70,8,68,65
18,62,8,87,64
18,83,5,80,70
14,69,5,91,63
30,66,6,53,65
18,86,9,62,67
27,87,7,78,71
29,90,7,94,73
26,80,4,91,67
17,96,7,84,72
22,97,7,79,71
20,92,4,82,72
15,85,7,61,68
22,72,5,80,65
13,99,6,75,68
27,71,8,69,67
17,68,7,94,66
21,78,6,91,64
22,62,6,54,65
18,99,6,99,69
24,84,7,61,68
17,82,5,61,69
25,86,9,97,70
12,80,5,72,65
21,61,4,90,63
32,84,8,64,71
14,89,6,94,68
16,77,7,92,70
23,90,8,76,72
21,69,6,85,64
22,69,7,98,64
23,66,8,73,66
24,75,9,75,69
27,94,6,86,71
22,93,6,69,69
19,75,8,98,67
24,84,7,52,66
31,89,7,70,71
19,70,9,86,63
14,67,4,71,62
27,99,5,63,73
19,85,4,71,66
7,99,9,94,72
25,74,8,77,67
17,88,5,67,65
19,69,7,84,66
22,70,7,81,68
21,80,4,78,69
24,73,7,70,68
17,67,5,54,61
23,71,8,81,68
18,61,5,71,64
24,88,7,71,67
24,80,9,62,68
14,64,8,62,61
27,67,8,89,66
17,64,7,74,64
25,85,5,55,67
22,64,6,52,64
31,90,7,61,72
19,61,7,74,62
18,70,5,81,63
20,96,8,57,70
25,63,9,54,64
10,93,7,52,66
14,80,8,93,67
14,94,8,83,71
26,84,10,89,70
30,87,7,59,69
19,100,6,66,68
19,69,6,72,64
20,85,9,83,70
27,78,5,77,69
14,62,6,78,63
21,61,7,58,60
26,65,7,74,65
23,86,8,91,67
21,83,5,75,66
26,82,7,60,68
4,61,7,71,58
24,79,5,88,67
16,97,8,57,68
9,76,7,79,62
23,85,7,98,69
28,91,6,69,73
19,91,6,52,66
26,81,5,82,67
30,94,8,52,71
28,76,9,60,66
30,96,10,52,74
24,70,8,59,67
20,71,6,93,68
10,62,6,87,61
19,92,8,67,69
15,77,7,95,65
33,69,7,83,71
19,69,7,72,61
21,96,9,53,70
23,93,6,87,70
20,82,9,69,69
30,85,7,65,70
16,79,6,64,67
21,76,6,50,63
16,97,7,87,70
12,65,8,57,61
16,77,6,76,64
20,74,8,51,65
17,80,6,81,65
16,78,7,68,66
12,81,5,82,66
20,66,8,54,63
11,81,7,63,66
25,70,9,56,64
20,67,8,82,65
11,63,7,55,62
18,91,9,81,71
15,77,8,57,63
22,85,9,97,70
28,89,6,71,70
9,87,8,56,65
21,79,8,52,66
19,76,5,66,66
24,75,9,95,68
21,86,5,57,68
15,80,5,90,69
18,94,4,71,71
15,95,8,90,69
26,67,5,94,68
20,65,6,100,67
31,85,8,53,72
20,72,7,90,68
16,61,6,53,60
11,96,5,66,68
9,69,7,82,65
10,97,8,72,67
22,89,8,78,70
23,91,10,98,70
11,68,6,91,61
25,69,5,68,68
17,81,7,80,67
21,67,7,52,62
30,72,7,73,66
25,73,6,80,69
18,66,4,86,66
15,68,5,95,64
7,92,8,64,66
16,67,7,95,63
19,61,8,83,62
14,85,8,54,65
19,99,8,69,68
20,73,8,74,65
19,65,7,68,63
21,96,4,78,72
23,91,6,57,69
13,85,6,96,66
28,73,7,93,68
19,82,6,74,64
20,64,8,53,61
24,87,6,78,67
21,89,9,80,68
26,99,6,94,74
22,70,6,53,67
16,61,6,85,64
22,82,6,78,69
13,88,9,59,63
21,92,7,56,67
20,68,7,85,65
19,70,6,67,67
19,81,7,100,68
9,73,7,95,62
17,94,7,78,70
21,79,7,82,67
21,92,9,58,89
14,83,7,95,65
28,91,5,73,69
15,73,7,76,64
26,93,6,94,74
23,71,8,50,64
16,82,7,75,64
31,69,9,81,67
13,79,6,58,63
26,73,7,53,68
26,71,5,77,66
16,99,7,77,68
28,66,5,67,68
18,91,7,94,69
22,99,7,65,71
22,61,7,76,65
19,88,8,59,67
25,70,7,51,65
25,62,5,71,65
10,76,6,76,80
28,97,7,88,74
10,60,7,72,59
26,84,7,64,69
27,80,9,80,66
13,95,7,69,66
18,63,8,62,65
13,87,4,96,67
19,87,8,77,69
18,87,10,60,68
25,98,9,84,73
28,93,6,90,71
28,62,10,88,67
17,79,7,80,67
19,76,7,76,66
10,72,7,89,63
15,78,7,85,65
26,75,4,79,67
30,77,8,83,69
13,99,7,58,67
16,64,7,51,66
20,97,7,97,74
22,79,6,97,69
15,85,7,89,66
23,93,9,69,69
17,74,8,58,63
20,77,7,68,65
23,76,7,86,64
20,75,7,67,64
17,97,6,90,69
19,93,7,84,73
19,64,8,81,62
18,64,7,97,62
18,77,6,95,68
30,64,7,86,66
23,85,8,60,68
18,66,5,97,66
24,81,6,61,69
18,60,5,69,62
27,73,7,91,68
22,87,8,60,67
19,79,9,82,65
23,99,9,73,69
11,95,6,81,67
13,74,7,98,64
13,62,6,90,62
21,94,9,65,71
30,96,9,53,72
33,93,7,98,74
24,65,6,79,66
23,100,4,59,72
9,70,5,81,65
17,89,4,52,67
15,96,5,59,70
16,69,10,82,62
19,96,5,70,66
17,72,5,66,65
8,99,6,83,70
24,71,10,93,69
14,98,7,84,70
21,62,8,73,66
32,88,7,83,73
14,81,4,85,69
5,79,9,89,66
18,69,8,65,65
27,88,7,56,70
32,68,10,84,70
13,82,6,56,67
23,70,7,73,68
17,98,6,62,68
19,61,9,67,61
36,68,8,74,70
11,70,7,95,65
22,77,5,84,66
23,69,6,59,67
27,80,5,94,69
21,95,9,75,69
22,88,5,60,67
18,83,9,76,66
22,64,9,60,63
18,88,6,68,67
24,67,6,90,64
18,91,6,83,68
22,70,8,74,65
20,77,9,61,65
27,74,9,64,65
20,94,6,99,70
9,65,9,67,62
28,83,9,81,68
15,66,7,75,62
16,88,7,51,68
16,96,9,97,72
28,77,9,54,70
7,80,9,83,62
39,97,10,91,79
26,81,8,87,73
21,80,7,90,68
20,83,9,87,68
22,88,10,72,69
23,64,6,95,63
24,93,7,96,74
23,77,5,72,69
21,63,8,74,61
19,91,8,74,69
19,75,6,64,64
19,64,9,56,63
27,85,6,63,68
24,95,6,92,72
2,96,9,77,65
24,98,6,93,69
21,95,5,87,70
20,60,8,67,63
18,75,7,59,62
27,93,9,78,72
26,75,8,97,69
15,84,4,92,66
22,84,9,88,71
14,75,10,88,62
12,96,9,76,68
16,80,9,58,63
25,79,7,64,66
26,100,6,79,75
23,80,7,66,69
24,67,8,89,68
23,81,8,69,69
16,93,6,56,67
23,91,6,89,73
25,92,5,85,71
25,88,8,63,71
27,70,6,99,68
24,94,7,70,70
22,96,10,84,71
26,68,8,96,69
20,65,7,58,63
15,99,8,94,71
19,95,9,85,69
16,96,5,58,71
16,95,6,83,68
19,82,7,94,68
15,86,6,90,66
18,82,7,88,67
9,62,5,58,59
21,90,8,60,66
20,80,6,77,64
15,86,7,79,64
24,80,7,97,69
26,80,8,73,69
10,67,4,65,61
15,71,8,60,62
15,66,7,53,61
14,68,8,53,63
25,99,5,79,71
19,66,8,59,65
18,71,9,93,68
8,84,7,80,67
24,84,6,93,70
13,66,6,71,64
20,92,8,80,71
22,91,8,76,71
28,69,8,99,67
12,72,7,90,63
2,98,7,80,66
21,93,7,80,70
31,88,6,62,70
27,63,8,87,67
21,77,7,99,69
17,82,9,56,66
25,67,9,82,67
14,78,7,76,65
23,84,8,93,72
23,73,6,50,68
26,91,7,57,72
37,94,8,52,76
22,73,5,58,65
17,94,8,85,68
20,64,6,57,65
9,94,6,81,66
16,66,6,93,63
18,63,7,52,63
17,86,5,51,66
21,79,8,99,69
15,96,7,84,72
27,75,10,57,66
20,71,7,65,64
20,80,8,99,67
18,78,6,61,67
21,74,5,88,66
25,88,8,62,68
15,90,5,70,65
16,94,8,94,71
18,99,10,51,71
12,71,8,65,62
15,89,8,74,69
17,76,7,81,65
25,87,6,51,70
22,79,7,71,66
21,100,6,67,70
25,89,5,51,70
19,98,7,68,69
22,93,9,97,71
19,96,5,64,69
22,93,9,79,73
17,78,9,65,65
5,70,8,55,62
19,75,8,64,67
29,61,7,74,65
26,81,7,65,65
26,80,6,81,70
27,81,7,97,70
21,99,7,53,71
21,96,10,86,71
16,66,8,50,62
18,75,7,50,65
24,77,7,57,84
27,74,6,74,68
19,92,6,52,70
17,81,8,86,68
20,83,6,51,67
24,94,6,75,69
11,92,6,84,68
6,65,6,62,59
17,89,9,79,67
13,77,7,63,63
17,72,7,61,65
19,62,7,91,63
17,79,7,67,64
29,74,6,91,72
22,70,5,61,63
22,88,9,68,66
24,91,8,55,67
13,70,8,75,66
26,62,8,69,66
20,94,10,50,68
24,60,6,73,66
14,97,5,54,68
11,85,8,92,65
25,73,5,75,67
22,70,7,85,64
15,60,7,91,59
15,69,8,53,60
27,66,6,67,65
13,84,9,51,64
30,67,6,52,66
15,81,8,52,65
24,84,6,74,69
18,72,8,73,66
24,61,5,53,65
17,61,7,63,62
19,61,9,62,60
20,90,7,65,68
14,73,9,82,64
24,92,7,85,73
17,77,6,67,64
19,78,7,89,69
14,81,8,71,63
5,89,4,76,65
19,71,8,57,65
34,65,6,62,67
25,82,5,86,67
20,73,8,99,66
18,78,9,85,68
20,86,7,53,65
23,80,5,57,66
13,85,6,72,66
27,82,6,87,69
24,90,7,58,70
24,88,7,88,71
23,81,8,78,70
20,87,8,89,68
24,95,8,78,73
24,77,8,80,68
18,77,7,62,66
17,91,10,86,67
21,83,8,92,66
29,63,8,94,69
13,96,10,51,67
11,61,7,81,61
21,90,6,99,70
20,90,9,79,70
21,98,9,59,70
21,62,7,94,64
19,84,10,63,65
29,77,7,52,70
10,73,8,72,62
15,64,9,55,64
19,83,7,56,67
10,79,8,73,63
19,64,9,81,62
30,84,6,95,72
20,90,6,85,69
21,91,9,92,72
12,96,7,71,68
16,76,6,66,64
18,98,7,80,72
18,95,8,85,73
28,72,5,78,67
23,66,8,63,64
13,77,8,68,65
21,76,9,72,67
23,83,7,51,68
27,83,9,94,72
14,80,7,88,66
15,64,7,59,59
12,94,10,78,68
19,72,5,96,64
23,99,8,61,70
26,65,7,67,65
20,98,7,69,72
18,64,8,69,66
21,69,9,80,68
15,62,8,70,62
33,88,9,84,70
10,94,7,74,70
21,77,7,58,64
32,97,5,97,76
20,84,10,62,67
19,85,7,78,69
18,94,7,53,68
19,72,8,96,67
28,74,9,96,69
7,96,6,68,67
29,96,9,56,73
11,99,7,88,71
18,96,9,63,70
17,65,6,85,65
24,93,8,96,73
10,76,7,80,65
23,100,5,93,73
32,79,5,61,70
12,82,6,96,66
21,81,8,61,66
16,73,4,61,64
23,63,8,94,68
20,96,7,78,70
16,92,4,90,72
23,66,6,90,66
31,91,6,82,74
19,85,7,59,67
24,76,9,85,71
12,70,9,53,60
14,94,6,60,68
23,88,6,82,69
29,82,5,95,74
22,84,6,89,71
18,64,6,67,63
20,79,7,91,66
12,68,7,98,65
24,68,6,67,60
25,86,6,59,69
17,96,6,60,69
17,76,6,70,67
22,68,9,53,65
17,86,8,74,70
20,95,8,87,71
33,90,9,77,73
19,95,8,99,70
18,81,9,73,67
16,90,8,51,67
24,66,7,74,65
19,74,6,96,69
16,76,6,55,65
28,80,8,61,68
29,97,7,86,74
16,95,5,65,68
9,65,4,88,61
26,67,10,71,67
16,74,6,90,66
25,72,6,78,69
8,85,9,54,62
25,96,5,69,71
13,98,8,67,71
24,86,10,91,72
20,94,10,81,69
14,81,6,89,67
18,68,7,69,63
24,81,6,85,68
21,82,7,53,69
24,90,9,52,65
32,69,5,64,70
11,75,8,89,65
30,75,7,77,67
21,98,9,70,72
15,78,9,95,69
12,90,6,75,69
19,90,7,81,71
26,71,8,99,67
19,83,8,76,65
29,96,4,89,70
11,79,8,71,63
20,98,9,52,71
12,69,7,92,64
22,63,8,97,69
25,96,9,72,69
17,94,7,75,70
4,100,8,71,64
21,87,7,100,70
23,97,7,95,74
22,93,6,52,69
27,94,7,89,73
14,83,10,80,66
24,75,6,51,67
27,97,8,72,76
9,77,7,57,61
22,82,9,94,68
17,78,9,51,63
20,83,6,94,67
22,79,6,97,66
17,62,6,54,62
16,95,6,86,69
20,78,6,77,67
13,84,8,98,66
13,66,6,90,63
24,60,6,85,64
13,70,6,96,64
24,88,8,58,67
23,64,7,69,66
10,96,7,92,68
16,69,6,55,62
27,68,5,97,68
14,67,9,87,63
17,61,7,72,62
23,91,10,67,72
25,95,8,57,69
18,85,10,55,67
16,68,8,71,65
29,71,7,92,69
30,79,6,77,72
26,98,6,73,70
21,70,9,66,91
15,89,7,58,65
15,78,8,100,62
23,72,8,51,65
23,78,8,66,67
28,63,6,88,67
24,92,9,76,72
11,70,7,66,60
26,89,7,100,69
14,63,8,81,61
18,98,7,65,70
22,68,4,92,68
32,95,9,58,75
39,92,9,73,75
24,99,4,92,72
19,79,5,99,66
23,89,10,69,71
25,75,7,57,70
18,67,7,78,63
31,78,6,97,72
21,67,5,83,65
23,99,7,80,71
24,64,8,65,65
23,84,7,80,69
25,85,8,94,71
16,82,10,69,68
17,86,6,62,66
13,65,7,74,60
23,82,9,69,68
25,71,6,73,67
23,98,7,55,71
30,90,10,67,74
20,99,6,91,70
24,62,9,70,63
13,71,7,98,64
18,68,10,85,66
24,60,5,68,64
25,70,7,63,69
18,87,5,84,71
20,69,6,65,64
11,80,6,96,65
18,96,7,56,69
25,88,5,51,68
23,76,7,61,68
23,75,8,80,68
20,78,5,92,65
20,67,6,59,65
16,85,10,79,66
24,75,7,57,66
23,94,4,78,71
23,90,5,51,68
17,84,7,78,65
7,75,7,76,63
27,68,6,52,66
17,91,10,84,71
15,79,10,79,65
24,69,7,81,68
18,68,8,76,66
26,67,8,86,64
24,91,9,76,70
24,69,6,96,70
12,81,10,97,66
27,78,7,86,70
22,83,8,96,71
18,95,7,96,70
21,95,7,63,70
9,78,7,100,66
22,61,5,63,64
14,77,4,51,66
12,84,7,98,68
11,82,6,61,61
27,86,8,79,72
16,66,8,99,66
29,86,7,52,68
17,67,9,63,61
10,90,7,80,67
13,74,5,88,66
27,88,7,90,74
19,62,9,94,66
17,76,4,58,67
21,88,7,69,71
23,69,8,86,66
27,92,10,86,71
29,85,9,65,72
18,84,7,65,66
12,74,8,66,62
18,79,4,95,66
22,84,5,95,69
14,79,8,51,64
14,88,7,66,69
22,77,7,70,69
20,68,7,99,64
20,69,7,97,68
15,60,7,81,63
19,72,5,52,64
14,90,7,60,69
25,92,5,72,71
26,68,6,98,67
9,98,9,55,67
14,80,7,90,66
11,97,8,60,67
16,88,7,75,68
19,89,6,88,69
11,63,5,85,62
14,69,6,89,66
14,60,7,91,63
21,89,8,65,67
20,74,7,68,68
16,91,8,91,66
21,74,5,52,66
17,93,8,76,67
18,65,5,96,66
30,67,8,94,69
28,74,8,90,72
12,76,4,51,60
25,74,8,94,68
25,91,8,96,72
13,64,9,83,64
25,74,6,65,65
29,93,7,74,76
13,63,8,88,59
14,98,8,91,67
26,99,8,67,73
22,64,6,66,64
23,72,8,87,67
22,75,8,84,69
22,91,7,76,69
12,84,6,71,67
26,86,6,83,72
27,90,9,52,86
19,65,8,54,62
20,93,7,79,69
11,88,7,61,68
23,83,4,89,99
23,96,7,89,70
20,88,5,85,68
27,68,7,95,67
18,77,9,57,66
23,80,6,63,66
14,62,7,63,62
20,98,8,89,72
19,65,7,76,64
21,88,6,63,68
18,80,7,57,66
19,61,8,95,68
25,97,7,85,75
17,94,7,76,67
10,81,9,98,65
30,69,8,92,68
28,65,5,59,67
12,75,8,75,63
24,70,8,74,67
17,80,5,92,67
22,99,4,57,73
22,83,5,73,67
19,96,7,82,71
15,86,9,97,67
16,79,6,95,68
15,94,8,77,68
15,79,4,80,66
20,95,7,93,68
16,72,6,87,63
24,65,10,94,68
29,94,4,95,74
17,83,7,92,65
21,96,4,50,69
23,98,6,66,70
23,62,4,70,65
20,80,10,84,68
24,75,6,65,65
23,85,7,66,68
13,92,7,70,68
25,71,5,98,66
25,82,9,72,70
15,88,8,57,66
20,65,8,50,64
24,93,5,62,70
19,84,9,97,68
26,98,9,98,74
34,74,7,76,71
15,64,8,82,61
12,80,7,90,64
22,63,5,53,64
24,99,7,69,73
19,62,6,82,62
29,90,7,95,71
12,81,9,86,68
24,75,5,68,67
16,63,6,95,63
30,85,6,83,71
32,83,6,92,72
15,71,6,69,66
17,96,7,50,67
25,72,8,58,66
18,78,8,96,68
20,82,7,52,64
20,64,8,80,65
8,97,10,70,66
20,75,7,71,69
16,63,9,70,64
17,75,8,53,65
29,84,10,56,72
12,81,8,53,65
25,88,6,53,70
18,62,7,54,64
18,71,7,85,62
25,93,8,56,69
22,63,6,63,62
23,94,9,83,69
26,64,7,56,66
18,93,8,96,71
16,74,7,74,66
13,84,7,98,64
15,66,7,60,63
38,63,8,52,69
27,69,10,80,68
12,65,4,66,63
12,72,8,79,64
23,81,7,74,66
23,84,7,73,71
23,92,4,93,72
18,86,8,60,88
19,84,7,75,66
22,76,6,71,65
21,79,7,84,66
7,77,7,53,62
19,94,4,76,68
15,69,7,74,65
21,60,8,99,62
38,86,6,88,74
22,68,7,58,64
18,96,7,75,72
26,94,9,89,70
23,63,7,76,65
23,64,8,68,66
24,80,7,69,67
32,84,10,68,73
13,71,6,51,65
23,89,6,87,74
14,84,7,81,66
23,73,6,63,67
14,61,5,82,58
17,90,8,65,71
18,69,4,62,63
26,93,6,87,73
26,77,5,90,68
13,83,7,81,66
20,95,4,89,68
16,95,8,68,66
12,75,8,54,62
19,68,5,80,78
18,91,7,63,68
35,77,8,89,77
23,68,8,68,65
12,96,5,84,73
17,68,5,78,64
26,61,9,91,67
33,61,6,92,69
10,85,6,53,60
9,86,8,65,66
31,72,5,94,70
22,73,7,70,66
15,74,8,76,64
23,87,5,59,70
4,62,6,78,58
20,97,5,63,69
22,69,6,91,64
26,100,9,60,72
14,67,9,68,60
21,91,7,55,70
14,69,8,79,62
22,63,8,97,66
15,95,6,59,66
18,94,7,51,65
14,76,5,71,64
24,88,6,87,72
25,82,7,99,71
19,94,5,53,68
20,73,5,89,68
11,81,6,68,64
18,79,9,58,65
20,74,9,60,64
36,96,7,96,75
13,67,8,90,61
29,66,6,66,68
26,83,4,97,70
22,86,6,55,71
31,68,7,66,66
22,76,7,83,66
22,98,7,100,70
20,70,7,73,62
27,87,6,91,72
27,90,8,96,72
16,78,5,50,63
12,98,8,64,69
19,89,6,55,68
15,78,10,89,67
20,83,7,78,71
27,88,6,55,67
17,84,6,71,62
20,95,6,76,69
20,74,8,85,67
25,72,7,89,71
7,69,8,54,87
16,62,8,74,62
21,62,7,58,64
27,95,8,88,74
17,87,9,83,69
9,86,8,86,65
24,85,7,54,66
16,94,8,76,70
13,79,5,92,68
16,95,10,86,70
19,74,8,93,68
16,97,8,60,69
7,88,7,64,66
25,70,4,72,65
28,83,7,76,71
24,81,7,63,66
13,66,6,69,61
19,84,6,84,69
20,73,6,82,65
24,62,8,56,63
24,98,9,99,73
16,86,7,78,68
20,95,6,74,70
23,87,6,98,72
29,74,7,57,68
24,81,7,77,68
25,87,8,90,71
21,98,6,70,68
28,70,8,87,70
22,95,8,95,70
15,97,6,63,69
28,87,4,62,73
24,97,6,68,72
17,76,9,71,67
17,98,4,56,69
22,88,9,62,68
23,62,4,94,64
21,96,6,78,71
22,79,6,63,68
30,78,10,97,70
26,83,7,89,72
21,66,7,68,65
26,79,6,88,70
14,93,8,80,69
22,61,6,84,64
31,71,7,66,67
19,60,6,60,65
15,77,8,63,62
16,89,8,54,68
13,92,6,74,68
15,98,6,70,68
18,84,6,50,68
12,70,7,93,62
20,97,8,84,72
25,91,7,72,69
15,83,4,98,68
29,88,8,97,71
23,97,5,55,69
26,88,6,81,71
16,75,7,91,65
25,89,7,59,68
13,62,8,56,60
25,75,6,63,68
21,76,6,64,66
23,67,7,98,66
13,61,8,89,62
15,65,8,53,61
24,86,7,89,69
14,92,9,58,69
23,100,9,68,74
25,84,5,64,67
13,97,8,65,69
23,67,7,88,66
24,89,6,63,72
16,90,6,90,69
23,64,7,55,65
22,94,6,80,72
17,93,7,93,69
14,61,7,54,60
8,64,7,82,61
22,62,8,76,63
11,73,7,67,63
21,80,6,55,68
18,81,4,84,68
24,71,8,65,65
18,96,7,67,71
18,75,7,86,64
24,62,9,97,65
22,72,5,67,67
22,81,7,87,67
23,76,6,98,67
11,71,8,55,87
25,65,4,76,67
24,93,8,51,72
14,100,8,91,69
19,73,6,64,65
20,75,7,67,66
19,85,6,84,70
22,89,8,89,71
29,76,8,70,67
26,96,5,83,72
12,82,5,98,63
24,78,9,94,67
28,86,10,85,72
22,98,8,97,72
27,92,8,94,70
32,62,7,86,67
26,73,7,96,68
21,79,8,91,67
26,73,7,75,70
21,88,9,75,67
20,93,7,50,71
18,89,7,52,69
29,100,7,87,74
15,71,7,78,63
29,95,9,88,72
23,91,7,97,71
12,74,7,73,64
22,89,7,54,69
7,64,6,81,62
24,92,5,55,69
25,81,9,81,68
16,72,9,76,67
21,86,9,86,71
32,86,5,68,70
17,68,9,57,63
14,61,10,62,60
29,77,9,84,69
32,83,9,74,71
20,95,8,77,69
26,97,6,66,73
28,81,8,92,73
16,90,5,100,68
17,78,6,66,67
27,90,7,86,74
30,68,7,59,68
23,75,8,87,69
15,85,4,72,69
32,61,7,80,68
17,89,8,62,66
18,93,8,93,69
22,76,8,59,66
29,78,7,96,72
25,94,6,53,69
22,91,8,64,68
23,72,7,78,66
20,73,8,93,65
23,87,8,79,71
5,83,7,61,61
18,66,6,93,63
21,72,9,80,66
13,96,8,62,69
22,88,10,78,71
19,99,8,84,73
31,91,8,84,72
29,98,5,86,73
17,69,7,95,65
19,91,7,91,71
20,61,8,80,65
17,87,8,52,67
21,79,8,87,69
15,74,10,99,63
13,94,6,65,68
24,94,8,80,70
24,61,8,88,64
15,84,10,82,64
25,75,8,96,68
16,77,8,74,65
22,93,8,77,70
25,72,8,52,66
20,98,9,95,70
23,67,6,63,66
17,87,6,99,69
19,87,10,60,69
19,70,4,63,64
16,73,7,74,64
19,93,7,83,69
11,90,7,72,67
17,73,9,68,63
18,81,8,77,67
18,62,6,98,65
19,68,6,98,64
20,79,7,66,68
23,63,9,84,64
25,94,7,86,70
16,89,7,83,70
13,98,6,56,67
14,88,8,77,69
17,98,7,88,70
18,82,6,60,69
15,84,9,67,65
12,99,10,60,66
17,86,7,94,70
21,61,7,93,63
24,89,5,58,69
17,96,8,88,74
18,92,8,68,70
